TV_id,title,cast,country,release_year,listed_in,description,URL
20,Lovesick,"Kongyingyong Chonlathorn, Phumphothingam Nawat, Luangsodsai Anupart, Nuchanart Veerakaarn, Chindavanich Primrose, Charnmanoon Pannin, Nungira Hanwutinanon, Ausavaterakul Ausavapat, Sirikiet Saejea, Nontapan Chuenwarin",,2014,"International TV Shows, Romantic TV Shows, TV Dramas",Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.,https://artworks.thetvdb.com/banners/posters/286126-3.jpg
21,Mak Cun,"Erma Fatima, Rahim Razali, Umie Aida, Nora Danish",,2015,"International TV Shows, TV Comedies, TV Dramas",A woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.,na
22,Paul Hollywood's Big Continental Road Trip,Paul Hollywood,United Kingdom,2017,"British TV Shows, Docuseries, International TV Shows","Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany.",https://artworks.thetvdb.com/banners/posters/329262-1.jpg
23,Satu Hari,"Sara Ali, Remy Ishak, Rita Rudaini, Mirza Salihovic, Hafizul Kamal, Miller Khan",,2014,"International TV Shows, TV Dramas","A man haunted by his wife's affair moves to Sarajevo and starts to love again, until fate forces him to choose between his new life and old loyalty.",na
24,Made in Mexico,,United States,2018,"International TV Shows, Reality TV, Spanish-Language TV Shows","These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles.",https://artworks.thetvdb.com/banners/series/351758/posters/5e7adcf1dc7ec.jpg
25,Bard of Blood,"Emraan Hashmi, Viineet Kumar, Sobhita Dhulipala, Jaideep Ahlawat, Kirti Kulhari, Sohum Shah, Rajit Kapoor, Danish Hussain",India,2019,"International TV Shows, TV Action & Adventure, TV Dramas","Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission.",https://artworks.thetvdb.com/banners/posters/5d8dc661ad635.jpg
26,Dragons: Rescue Riders,"Nicolas Cantu, Brennley Brown, Zach Callison, Skai Jackson, Noah Kaye Bentley, Andre Robinson, Marsai Martin",,2019,"Kids' TV, TV Comedies","Twins Dak and Leyla and their dragon friends devote their lives to rescuing others, defending their home of Huttsgalor and having fun along the way.",https://artworks.thetvdb.com/banners/posters/5d8dc704cb569.jpg
27,Skylines,"Edin Hasanovic, Peri Baumeister, Murathan Muslu, Erdal Yıldız, Richy Müller, Anna Herrmann, Sahin Eryilmaz, Lisa Maria Potthoff, Carol Schuler, Dustin Jérôme Schanz, Nimo, Christopher Schärf, Slavko Popadic",,2019,"Crime TV Shows, International TV Shows, TV Dramas",A hip-hop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business.,https://artworks.thetvdb.com/banners/series/368870/posters/62114622.jpg
28,The Politician,"Ben Platt, Gwyneth Paltrow, Jessica Lange, Zoey Deutch, Lucy Boynton, Bob Balaban, David Corenswet, Julia Schlaepfer, Laura Dreyfuss, Theo Germaine, Rahne Jones, Benjamin Barrett",United States,2019,"TV Comedies, TV Dramas, Teen TV Shows",Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.,https://artworks.thetvdb.com/banners/series/361411/posters/5ec29bb8bab87.jpg
29,The Inmate,"Ignacio Serricchio, Ana Claudia Talancón, Flavio Medina, Luis Felipe Tovar, Mariana Seoane, Guy Ecker, Isabella Castillo, Bradley Stryker, Gustavo Sánchez Parra, Leonardo Ortizgris, Alejandro Calva, Rodrigo Oviedo, Ramón Medína, Erik Hayser, Tiaré Scanda",Mexico,2018,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",A former Marine poses as an inmate inside a Mexican prison in order to infiltrate a gang suspected of kidnapping a U.S. judge's teen daughter.,https://artworks.thetvdb.com/banners/posters/5bd123bc88dd0.jpg
30,Team Kaylie,"Bryana Salaz, Alison Fernandez, Symera Jackson, Elie Samouhi, Kai Calhoun, Eliza Pryor, Rosa Blasi, Nicole Sullivan, David Gridley",,2019,"Kids' TV, TV Comedies","After a brush with the law, teen celebrity Kaylie Konrad swaps social stardom for court-ordered chaos as a middle school wilderness club leader.",https://artworks.thetvdb.com/banners/posters/5d892869407bd.jpg
31,BONDING,"Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman, Alex Hurt, D'Arcy Carden, Gabrielle Ryan, Charles Gould",United States,2019,"TV Comedies, TV Dramas",A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,https://artworks.thetvdb.com/banners/posters/5cc1bcb3b7730.jpg
32,Vagabond,"Lee Seung-gi, Bae Suzy, Shin Sung-rok, Moon Jung-hee, Baek Yoon-sik, Moon Sung-keun, Lee Gyoung-young, Lee Ki-young, Kim Min-jong, Jung Man-sik, Hwang Bo-ra",South Korea,2019,"International TV Shows, Korean TV Shows, TV Action & Adventure","When his nephew dies in a plane crash, stunt man Cha Dal-geon resolves to find out what happened, with the help of covert operative Go Hae-ri.",https://artworks.thetvdb.com/banners/posters/5d7611a97d37d.jpg
33,Battlefish,,,2018,"Reality TV, Science & Nature TV, TV Action & Adventure","Over the course of a fishing season, tough men and women pursue lucrative albacore tuna in the competitive waters off the Oregon coast.",https://artworks.thetvdb.com/banners/posters/5ba4af9738265.jpg
34,DRAGON PILOT: Hisone & Masotan,"Misaki Kuno, Tomoyo Kurosawa, Maki Kawase, Satomi Arai, Kaori Nazuka, Romi Park, Yuki Kaji, Yukitoshi Tokumoto, Rie Kugimiya, Junichi Suwabe, Jouji Nakata",Japan,2018,"Anime Series, International TV Shows",Recently stationed Air Self-Defense Force rookie Hisone Amakasu is chosen by a dragon concealed within Gifu Air Base to be his pilot.,https://artworks.thetvdb.com/banners/posters/343815-2.jpg
35,Hilda,"Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker","United Kingdom, Canada, United States",2018,Kids' TV,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city.",https://artworks.thetvdb.com/banners/posters/5c32b6198bb95.jpg
36,Maniac,"Emma Stone, Jonah Hill, Justin Theroux, Sally Field, Gabriel Byrne, Sonoya Mizuno, Julia Garner, Billy Magnussen, Jemima Kirke",United States,2018,"TV Comedies, TV Dramas, TV Mysteries",Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.,https://artworks.thetvdb.com/banners/posters/5b9be71e45e08.jpg
37,The Good Cop,"Tony Danza, Josh Groban, Monica Barbaro, Isiah Whitlock Jr.",United States,2018,"Crime TV Shows, TV Comedies, TV Dramas","When he's not solving murders, a pathologically honest detective tries to keep an eye on his crooked but kindhearted dad.",https://artworks.thetvdb.com/banners/posters/5b65eb391fa67.jpg
38,Criminal: France,"Margot Bancilhon, Laurent Lucas, Stéphane Jobert, Anne Azoulay, Mhamed Arezki, Sara Giraudeau, Nathalie Baye, Jérémie Renier",,2019,"Crime TV Shows, International TV Shows, TV Dramas","Secrets emerge and entire cases unravel inside a police interview room in Paris, where suspects and investigators face off in an intricate dance.",https://artworks.thetvdb.com/banners/posters/5d847899aaf19.jpg
39,Criminal: Germany,"Eva Meckbach, Sylvester Groth, Florence Kasumba, Peter Kurth, Christian Berkel, Nina Hoss, Christian Kuchenbuch, Jonathan Berlin, Deniz Arora",,2019,"Crime TV Shows, International TV Shows, TV Dramas","In the interview room, detectives go head-to-head with suspects and try to get to the truth – even if it means breaking the rules and risking it all.",https://artworks.thetvdb.com/banners/posters/5d8478a01c164.jpg
40,Criminal: Spain,"Emma Suárez, Jorge Bosch, Álvaro Cervantes, Carmen Machi, Inma Cuesta, Eduard Fernández, María Morales, José Ángel Egido, Daniel Chamorro, Javi Coll, Carlos Manuel Díaz, Nuria Mencía, Milo Taboada",,2019,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Psychological games abound between detectives and suspects in a tense interrogation room, where the search for answers sometimes comes at a moral cost.",https://artworks.thetvdb.com/banners/posters/5d8aa3646a3af.jpg
41,Criminal: UK,"Katherine Kelly, Lee Ingleby, Mark Stanley, Rochenda Sandall, Shubham Saraf, Nicholas Pinnock, David Tennant, Hayley Atwell, Youssef Kerkour, Clare-Hope Ashitey, Isabella Laughland","United Kingdom, France, Germany, Spain",2019,"British TV Shows, Crime TV Shows, International TV Shows","Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime.",https://artworks.thetvdb.com/banners/posters/5d8ffe8356a55.jpg
42,Inside Bill's Brain: Decoding Bill Gates,Bill Gates,United States,2019,"Docuseries, Science & Nature TV",Take a trip inside the mind of Bill Gates as the billionaire opens up about those who influenced him and the audacious goals he's still pursuing.,https://artworks.thetvdb.com/banners/posters/5d8490fb2c538.jpg
43,The Hockey Girls,"Iria del Río, Nora Navas, Josep Linuesa, Natàlia Barrientos, Dèlia Brufau, Yasmina Drissi Sales, Júlia Gibert, Mireia Oriol, Asia Ortega Leiva, Claudia Riera, Mireia Aixalà, Juli Fàbregas, Àgata Roca, Marc Clotet",Spain,2019,"International TV Shows, TV Comedies, TV Dramas","The passionate members of a girls' roller hockey team chase down victories in the rink while striving to make time for school, family and romance.",https://artworks.thetvdb.com/banners/posters/5d8553de6ce36.jpg
44,Two Sentence Horror Stories,"Nicole Kang, Jim Parrack, Tara Pacheco, Christopher Shyer, Kimberley Wong, Wai Ching Ho, Greta Quispe, Zaria Degenhardt, Uly Schlesinger, Kate Jennings Grant, Aleyse Shannon, Guillermo Arribas, Jaiden Smith, Pepper Binkley, Mikelle Wright-Matos, Melinda Mo",United States,2019,"TV Horror, Teen TV Shows",This anthology series of terror features diverse characters facing primal fears in spine-chilling situations that stretch past daily routine.,na
45,Mobile Suit Gundam UC,"Kouki Uchiyama, Ayumi Fujimura, Hiro Shimono, Haruka Tomatsu, Daisuke Namikawa, Megumi Toyoguchi, Yuhko Kaida, Shuichi Ikeda, Tetsuya Kakihara",Japan,2014,"Anime Series, International TV Shows","When Banagher Links meets the mysterious Audrey Burne, he inherits the Unicorn Gundam and is swept up into the battle for space colony independence.",na
46,Monkey Twins,"Phakin Khamwilaisak, Sumret Muengput, Alisa Kunkwaeng, Zozeen Panyanut Jirarottanakasem, Akarat Nimitchai, Warawut Poyim, Vithaya Pansringarm, Phutharit Prombandal, Kazu Patrick Tang",Thailand,2018,"Crime TV Shows, International TV Shows, TV Action & Adventure","Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring.",https://artworks.thetvdb.com/banners/images/missing/series.jpg
47,Chef's Table: France,,,2016,Docuseries,Sample the bold new flavors of France with chefs who are pushing the boundaries of fine dining and reinventing a rich culinary tradition.,https://artworks.thetvdb.com/banners/posters/322619-2.jpg
48,Kulipari: An Army of Frogs,"Mark Hamill, Keith David, Wendie Malick, Josh Keaton, Mikey Kelley, Phil LaMarr, Laraine Newman, Jess Harnell, Charles Adler, Amy Margolis, Cree Summer, Lacey Chabert, Rolonda Watts, Kevin Michael Richardson, Candi Milo",United States,2016,Kids' TV,"In a tale of bravery and heroism, fearless frogs go to war against the sinister scorpions and spiders that have teamed up to conquer the amphibians.",https://artworks.thetvdb.com/banners/posters/316530-2.jpg
49,Transformers: Rescue Bots,"Lacey Chabert, Elan Garfias, Maurice LaMarche, Jason Marsden, Shannon McKain, Steve Blum, Parvesh Cheena, D.C. Douglas, Imari Williams, LeVar Burton, Diamond White","Canada, United States",2016,Kids' TV,"Follow the adventure of four young transformers, Heatwave, Chase, Blades and Boulder, and their human counterparts: a family of emergency responders.",na
50,Manhunt,"Sam Worthington, Paul Bettany, Chris Noth, Jeremy Bobb, Ben Weber, Lynn Collins, Brían F. O'Byrne, Keisha Castle-Hughes, Mark Duplass, Elizabeth Reaser, Diesel Madkins",United States,2017,"Crime TV Shows, TV Dramas, TV Mysteries","Faced with few clues and an increasingly panicked public, the FBI calls on a new kind of profiler to help track down the infamous Unabomber.",https://artworks.thetvdb.com/banners/series/326288/posters/62058704.jpg
51,When the Camellia Blooms,"Kong Hyo-jin, Kang Ha-neul, Kim Ji-seok, Oh Jung-se, Yeom Hye-ran, Son Dam-bi, Ji E-su, Go Du-sim",South Korea,2019,"International TV Shows, Korean TV Shows, Romantic TV Shows","Dongbaek is a single mother. When a potential new love enters her life, she finds ways to defy the social stigmas surrounding her.",https://artworks.thetvdb.com/banners/posters/5d74c2214578d.jpg
52,Forget Me Not,,United Kingdom,2011,"International TV Shows, TV Dramas","Teenage Xue Ming was forced to marry the man who raped her. Years after abandoning her young sons to find a better life, can she escape the guilt?",https://artworks.thetvdb.com/banners/movies/40976/posters/40976.jpg
53,The Beat,"Henley Hii, Yise Loo, Aric Ho, Tiffany Leong, Issac Dang, Christy Yow",,2012,"International TV Shows, TV Dramas","The artistic pursuits of two childhood friends, an aspiring singer and a talented dancer, lead them to four other 20-somethings in a drumming group.",na
54,Timeless Season,"Loo Aye Keng, Chen Ke Mei, Hady, Hishiko Woo, Jiang Pei Pei, Steve Yap",,2009,"International TV Shows, TV Dramas","A decade after college, a wake reunites five female friends struggling with illness, infidelity, toxic in-laws, spousal abuse and other life issues.",na
55,Ancient Aliens,Robert Clotworthy,United States,2010,"Docuseries, Science & Nature TV","Were ancient humans really behind some of the most important technological advances in civilized history, or did they have extraterrestrial help?",na
56,The Last Kids on Earth,"Nick Wolfhard, Charles Demers, Garland Whitt, Montse Hernandez, Brian Drummond, Giles Panton, Keith David",United States,2019,"Kids' TV, TV Comedies","When zombies and monsters invade his hometown, a scrappy 13-year-old orphan teams up with his friends in hopes of surviving the chaos.",https://artworks.thetvdb.com/banners/posters/5d81e3a1a3bdc.jpg
57,Click for Murder,Donal MacIntyre,United Kingdom,2017,"British TV Shows, Crime TV Shows, Docuseries",Crime journalist Donal MacIntyre reveals how deadly the internet can be as he dissects the technological methods behind heinous acts.,https://artworks.thetvdb.com/banners/series/343918/posters/62004617.jpg
58,America's Book of Secrets,Jonathan Adams,United States,2014,Docuseries,"This engaging documentary series shares the surprising backstories of familiar institutions like the Pentagon, West Point and the Playboy Mansion.",https://artworks.thetvdb.com/banners/posters/256002-1.jpg
59,Bakugan: Battle Planet,"Jonah Wineberg, Deven Christian Mack, Margarita Valderrama, Ticoon Kim, Jason Deline, Will Bowes","Japan, Canada, South Korea",2018,"Anime Series, Kids' TV",Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.,https://artworks.thetvdb.com/banners/series/357354/posters/62060249.jpg
60,Cold Case Files,,United States,2017,"Crime TV Shows, Docuseries",Masterful detectives utilize forensic science and criminal psychology to re-examine long-standing cases.,https://artworks.thetvdb.com/banners/posters/74814-1.jpg
61,Pawn Stars,"Corey Harrison, Richard Harrison, Rick Harrison, Austin ""Chumlee"" Russell",United States,2010,Reality TV,"Father Richard Harrison, son Rick and grandson Corey appraise an array of strange objects brought into their Gold & Silver Pawn Shop in Las Vegas.",https://artworks.thetvdb.com/banners/posters/111051-3.jpg
62,Surviving R. Kelly,R. Kelly,United States,2019,Docuseries,"In this documentary series on the tangled history of allegations against musician R. Kelly, women give detailed accounts of sexual and mental abuse.",https://artworks.thetvdb.com/banners/series/357458/posters/5e7ac77102a4a.jpg
63,The Curse of Oak Island,Robert Clotworthy,United States,2014,Docuseries,"On an ominous island off of Nova Scotia, two brothers chase historical theories on a quest for enigmatic treasure.",https://artworks.thetvdb.com/banners/posters/276515-3.jpg
64,The Rap Game,Jermaine Dupri,United States,2016,Reality TV,Young lyricists between the ages of 12 and 16 compete for a chance to sign to Jermaine Dupri's label while being mentored by hip-hop and R&B's finest.,https://artworks.thetvdb.com/banners/posters/302952-4.jpg
65,The Universe,Erik Thompson,United States,2009,"Docuseries, Science & Nature TV","Discover the secrets of the universe in this series that pairs animation with insights on distant planets, black holes and other celestial marvels.",https://artworks.thetvdb.com/banners/posters/80198-2.jpg
66,Al Hayba,"Taim Hasan, Nadine Nassib Njeim, Abdo Chahine, Oweiss Mkhallalati, Mona Wassef",Lebanon,2017,"Crime TV Shows, International TV Shows, TV Dramas","In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.",https://artworks.thetvdb.com/banners/series/329984/posters/5eb9ef22b835f.jpg
67,Cabins in the Wild with Dick Strawbridge,"Dick Strawbridge, William Hardie",United Kingdom,2017,"British TV Shows, International TV Shows, Reality TV","Engineer Dick Strawbridge and craftsman Will Hardie tour eight unique cabins built for a pop-up hotel in Wales, and construct No. 9 on their own.",https://artworks.thetvdb.com/banners/posters/328976-2.jpg
68,How to Live Mortgage Free with Sarah Beeny,,,2018,"British TV Shows, International TV Shows, Reality TV",Real estate expert and TV presenter Sarah Beeny meets with clever property owners who share their colorful stories about living mortgage free.,https://artworks.thetvdb.com/banners/posters/327090-1.jpg
69,Inside The Freemasons,,United Kingdom,2017,"British TV Shows, Docuseries, International TV Shows","Explore the history and future of the Freemasons, a fraternal order steeped in both secrecy and tradition.",https://artworks.thetvdb.com/banners/posters/324825-1.jpg
70,The Five,"Tom Cullen, O.T. Fagbenle, Lee Ingleby, Sarah Solemani, Hannah Arterton, Geraldine James, Michael Maloney, Rade Serbedzija, Jonathan Kerrigan, Don Warrington, Sophia La Porta",United Kingdom,2016,"British TV Shows, Crime TV Shows, TV Dramas","Twenty years after 5-year-old Jesse disappears near his home, his DNA turns up at the scene of a woman's murder, baffling his family and the police.",https://artworks.thetvdb.com/banners/posters/309255-1.jpg
71,Wartime Portraits,,Poland,2014,"Docuseries, International TV Shows","Part live-action and part animation, this visually inventive series offers striking portrayals of some of the unsung heroes of World War II.",na
72,Behind the Newsroom,"Pok Piyatida Woramusik, Willie Ruengrit McIntosh, Charebelle Lanlalin, Tono Pakin Kumwilaisuk, Point Cholawit Meetongcom, Cee Hathaiphat, Pitta Na Pattalung, Ae Sasikarn Aphichartworasilp, Louis Pongphan Petchbuntoon, Sawitree Samipak",,2015,"International TV Shows, Romantic TV Shows, TV Dramas","Confident and cool under pressure, top news presenter Punchalee meets her match in the conniving Dao, who'll stop at nothing to fulfill her ambitions.",na
73,Boca Juniors Confidential,,,2018,"Docuseries, International TV Shows, Spanish-Language TV Shows","Players, fans and staff of soccer powerhouse Boca Juniors provide an exclusive, behind-the-scenes look at Argentina's legendary club.",https://artworks.thetvdb.com/banners/movies/29917/posters/29917.jpg
74,Car Masters: Rust to Riches,"Mark Towle, Shawn Pilot, Constance Nunes, Tony Quinones, Mike ""Caveman"" Pyle",,2018,Reality TV,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.",https://artworks.thetvdb.com/banners/series/352862/posters/62114833.jpg
75,Norm Macdonald Has a Show,,United States,2018,"Stand-Up Comedy & Talk Shows, TV Comedies",Comedian Norm Macdonald hosts his celebrity friends for casual conversations that range from silly to serious and take many unexpected turns.,https://artworks.thetvdb.com/banners/posters/5b7d1a861bad8.jpg
76,Super Monsters Monster Party,"Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Ian James Corlett, Britt McKillip, Kathleen Barr, Diana Kaarina",,2018,Kids' TV,"Sing along and move to this groovy collection of music videos featuring monster friends Katya, Lobo, Zoe, Drac, Cleo and Frankie!",na
77,The Rise of Phoenixes,"Chen Kun, Ni Ni, Zhao Lixin, Ni Dahong, Yuan Hong, Wang Ou, Bai Jinting, Zhang Xiaochen, Mei Ting, Liu Mintao, Yu Mingjia, Hou Yansong, Hai Yitian, Shi An, Shao Tong",China,2018,"International TV Shows, Romantic TV Shows, TV Action & Adventure","When a secret from the past rears its head, a respected court scholar must choose between avenging her family and staying true to the prince she loves.",https://artworks.thetvdb.com/banners/posters/330556-2.jpg
78,Kabaneri of the Iron Fortress: The Battle of Unato,"Tasuku Hatanaka, Sayaka Senbongi, Maaya Uchida, Toshiki Masuda, Kanae Oki, Mariya Ise, Ryota Osaka, Kensuke Sato, Maxwell Powers, Shinichiro Miki",,2019,"Anime Series, International TV Shows, TV Horror","Ikoma and the Iron Fortress take their fight to the battlegrounds of Unato, joining the alliance to reclaim the region from the kabane horde.",https://artworks.thetvdb.com/banners/movies/133429/posters/62074442.jpg
79,Marianne,"Victoire Du Bois, Lucie Boujenah, Tiphaine Daviot, Ralph Amoussou, Bellamine Abdelmalek, Mehdi Meskar, Alban Lenoir, Mireille Herbstmeyer, Corinne Valancogne, Patrick d'Assumçao, Pierre Aussedat",France,2019,"International TV Shows, TV Dramas, TV Horror","Lured back to her hometown, a famous horror writer discovers that the evil spirit who plagues her dreams is now wreaking havoc in the real world.",https://artworks.thetvdb.com/banners/posters/5d816620adb21.jpg
80,Monarca,"Irene Azuela, Juan Manuel Bernal, Osvaldo Benavides, Rosa María Bianchi, Antonio de la Vega, Luis Rábago, Sophie Gómez, James Hyde, Carla Adell, Regina Pavón, Dalí González, Alejandro de Hoyos Parera, José Manuel Rincón, Daniela Schmidt, Gabriela de la Garza",Mexico,2019,"International TV Shows, Spanish-Language TV Shows, TV Dramas","After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets.",https://artworks.thetvdb.com/banners/posters/5d6be35b1efa5.jpg
81,Top Boy,"Ashley Walters, Kane Robinson, Micheal Ward, Shone Romulus, Simbiatu Ajikawo, Lisa Dwan, David Omoregie, Jasmine Jobson, Hope Ikpoku Jr., Araloyin Oshunremi, Keiyon Cook",United Kingdom,2019,"British TV Shows, Crime TV Shows, International TV Shows","Two seasoned drug dealers return to the gritty streets of London, but their pursuit of money and power is threatened by a young and ruthless hustler.",https://artworks.thetvdb.com/banners/series/253138/posters/5e80c6e2d90c2.jpg
82,Unbelievable,"Toni Collette, Merritt Wever, Kaitlyn Dever, Dale Dickey, Scott Lawrence, Danielle Macdonald, Austin Hébert, Eric Lange, Elizabeth Marvel",United States,2019,"Crime TV Shows, TV Dramas","After a young woman is accused of lying about a rape, two female detectives investigate a spate of eerily similar attacks. Inspired by true events.",https://artworks.thetvdb.com/banners/posters/5d32d30f99fe2.jpg
83,The I-Land,"Natalie Martinez, Kate Bosworth, Ronald Peet, Kyle Schmid, Alex Pettyfer, Sibylla Deen, Gilles Geary, Anthony Lee Medina, Kota Eberhardt, Michelle Veintimilla, Bruce McGill",United States,2019,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","Wiped clean of memories and thrown together, a group of strangers fight to survive harsh realities – and the island that traps them.",https://artworks.thetvdb.com/banners/posters/5d68640280063.jpg
