movieId,title,genres
151,Rob Roy (1995),7|6|5|16
152,"Addiction, The (1995)",6|11
153,Batman Forever (1995),7|10|3|8
154,Beauty of the Day (Belle de jour) (1967),6
155,Beyond Rangoon (1995),10|6|16
156,Blue in the Face (1995),3|6
157,Canadian Bacon (1995),3|16
158,Casper (1995),10|2
159,Clockers (1995),8|6|12
160,Congo (1995),7|10|12|13
161,Crimson Tide (1995),6|9|16
162,Crumb (1994),14
163,Desperado (1995),7|5|18
164,Devil in a Blue Dress (1995),8|19|12|9
165,Die Hard: With a Vengeance (1995),7|8|9
166,"Doom Generation, The (1995)",3|8|6
167,Feast of July (1995),6
168,First Knight (1995),7|6|5
169,Free Willy 2: The Adventure Home (1995),10|2|6
170,Hackers (1995),7|10|8|9
171,Jeffrey (1995),3|6
172,Johnny Mnemonic (1995),7|13|9
173,Judge Dredd (1995),7|8|13
174,Jury Duty (1995),3
175,Kids (1995),6
176,Living in Oblivion (1995),3
177,Lord of Illusions (1995),11
178,Love & Human Remains (1993),3|6
179,Mad Love (1995),6|5
180,Mallrats (1995),3|5
181,Mighty Morphin Power Rangers: The Movie (1995),7|2
182,Moonlight and Valentino (1995),6|5
183,Mute Witness (1994),3|11|9
184,Nadja (1994),6
185,"Net, The (1995)",7|8|9
186,Nine Months (1995),3|5
187,Party Girl (1995),3
188,"Prophecy, The (1995)",4|11|12
189,Reckless (1995),3|4
190,Safe (1995),9
191,"Scarlet Letter, The (1995)",6|5
192,The Show (1995),14
193,Showgirls (1995),6
194,Smoke (1995),3|6
195,Something to Talk About (1995),3|6|5
196,Species (1995),11|13
197,"Stars Fell on Henrietta, The (1995)",6
198,Strange Days (1995),7|8|6|12|13|9
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",6|17|5
200,"Tie That Binds, The (1995)",9
201,Three Wishes (1995),6|4
202,Total Eclipse (1995),6|5
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",3
204,Under Siege 2: Dark Territory (1995),7
205,Unstrung Heroes (1995),3|6
206,Unzipped (1995),14
207,"Walk in the Clouds, A (1995)",6|5
208,Waterworld (1995),7|10|13
209,White Man's Burden (1995),6
210,Wild Bill (1995),18
211,"Browning Version, The (1994)",6
212,Bushwhacked (1995),10|3|8|12
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),6
214,Before the Rain (Pred dozhdot) (1994),6|16
215,Before Sunrise (1995),6|5
216,Billy Madison (1995),3
217,"Babysitter, The (1995)",6|9
218,Boys on the Side (1995),3|6
219,"Cure, The (1995)",6
220,Castle Freak (1995),11
222,Circle of Friends (1995),6|5
223,Clerks (1994),3
224,Don Juan DeMarco (1995),3|6|5
225,Disclosure (1994),6|9
226,Dream Man (1995),9
227,Drop Zone (1994),7|9
228,Destiny Turns on the Radio (1995),3
229,Death and the Maiden (1994),6|9
230,Dolores Claiborne (1995),6|9
231,Dumb & Dumber (Dumb and Dumber) (1994),10|3
232,Eat Drink Man Woman (Yin shi nan nu) (1994),3|6|5
233,Exotica (1994),6
234,Exit to Eden (1994),3
235,Ed Wood (1994),3|6
236,French Kiss (1995),7|3|5
237,Forget Paris (1995),3|5
238,Far From Home: The Adventures of Yellow Dog (1995),10|2
239,"Goofy Movie, A (1995)",1|2|3|5
240,Hideaway (1995),9
241,Fluke (1995),2|6
242,Farinelli: il castrato (1994),6|17
243,Gordy (1995),2|3|4
244,Gumby: The Movie (1995),1|2
245,The Glass Shield (1994),8|6
246,Hoop Dreams (1994),14
247,Heavenly Creatures (1994),8|6
248,Houseguest (1994),3
249,Immortal Beloved (1994),6|5
250,Heavyweights (Heavy Weights) (1995),2|3
251,"Hunted, The (1995)",7
252,I.Q. (1994),3|5
253,Interview with the Vampire: The Vampire Chronicles (1994),6|11
254,Jefferson in Paris (1995),6
255,"Jerky Boys, The (1995)",3
256,Junior (1994),3|13
257,Just Cause (1995),12|9
258,"Kid in King Arthur's Court, A (1995)",10|2|3|4|5
259,Kiss of Death (1995),8|6|9
260,Star Wars: Episode IV - A New Hope (1977),7|10|13
261,Little Women (1994),6
262,"Little Princess, A (1995)",2|6
263,Ladybird Ladybird (1994),6
264,"Enfer, L' (1994)",6
265,Like Water for Chocolate (Como agua para chocolate) (1992),6|4|5
266,Legends of the Fall (1994),6|5|16|18
267,Major Payne (1995),3
268,Little Odessa (1994),8|6
269,My Crazy Life (Mi vida loca) (1993),6
270,Love Affair (1994),6|5
271,Losing Isaiah (1995),6
272,"Madness of King George, The (1994)",3|6
273,Mary Shelley's Frankenstein (Frankenstein) (1994),6|11|13
274,Man of the House (1995),3
275,Mixed Nuts (1994),3
276,Milk Money (1994),3|5
277,Miracle on 34th Street (1994),6
278,Miami Rhapsody (1995),3
279,My Family (1995),6
280,Murder in the First (1995),6|9
281,Nobody's Fool (1994),3|6|5
282,Nell (1994),6
283,New Jersey Drive (1995),8|6
284,New York Cop (Nyû Yôku no koppu) (1993),7|8
285,Beyond Bedlam (1993),6|11
286,Nemesis 2: Nebula (1995),7|13|9
287,Nina Takes a Lover (1994),3|5
288,Natural Born Killers (1994),7|8|9
289,Only You (1994),3|5
290,Once Were Warriors (1994),8|6
292,Outbreak (1995),7|6|13|9
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),7|8|6|9
294,"Perez Family, The (1995)",3|5
295,"Pyromaniac's Love Story, A (1995)",3|5
296,Pulp Fiction (1994),3|8|6|9
297,Panther (1995),6
298,Pushing Hands (Tui shou) (1992),6
299,Priest (1994),6
300,Quiz Show (1994),6
301,Picture Bride (Bijo photo) (1994),6|5
302,"Queen Margot (Reine Margot, La) (1994)",6|5
303,"Quick and the Dead, The (1995)",7|9|18
304,Roommates (1995),3|6
305,Ready to Wear (Pret-A-Porter) (1994),3
306,Three Colors: Red (Trois couleurs: Rouge) (1994),6
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),6
308,Three Colors: White (Trzy kolory: Bialy) (1994),3|6
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",6
310,Rent-a-Kid (1995),3
311,Relative Fear (1994),11|9
312,Stuart Saves His Family (1995),3
313,"Swan Princess, The (1994)",1|2
314,"Secret of Roan Inish, The (1994)",2|6|4|12
315,"Specialist, The (1994)",7|6|9
316,Stargate (1994),7|10|13
317,"Santa Clause, The (1994)",3|6|4
318,"Shawshank Redemption, The (1994)",8|6
319,Shallow Grave (1994),3|6|9
320,Suture (1993),19|9
321,Strawberry and Chocolate (Fresa y chocolate) (1993),6
322,Swimming with Sharks (1995),3|6
324,"Sum of Us, The (1994)",3|6
325,National Lampoon's Senior Trip (1995),3
326,To Live (Huozhe) (1994),6
327,Tank Girl (1995),7|3|13
328,Tales from the Crypt Presents: Demon Knight (1995),11|9
329,Star Trek: Generations (1994),10|6|13
330,Tales from the Hood (1995),7|8|11
331,Tom & Viv (1994),6
332,Village of the Damned (1995),11|13
333,Tommy Boy (1995),3
334,Vanya on 42nd Street (1994),6
335,Underneath (1995),12|9
336,"Walking Dead, The (1995)",6|16
337,What's Eating Gilbert Grape (1993),6
338,Virtuosity (1995),7|13|9
339,While You Were Sleeping (1995),3|5
340,"War, The (1994)",10|6|16
341,Double Happiness (1994),6
342,Muriel's Wedding (1994),3
343,"Baby-Sitters Club, The (1995)",2
344,Ace Ventura: Pet Detective (1994),3
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",3|6
346,Backbeat (1993),6|17
347,Bitter Moon (1992),6|19|5
348,Bullets Over Broadway (1994),3
349,Clear and Present Danger (1994),7|8|6|9
350,"Client, The (1994)",6|12|9
351,"Corrina, Corrina (1994)",3|6|5
352,Crooklyn (1994),3|6
353,"Crow, The (1994)",7|8|4|9
354,Cobb (1994),6
355,"Flintstones, The (1994)",2|3|4
356,Forrest Gump (1994),3|6|5|16
357,Four Weddings and a Funeral (1994),3|5
358,Higher Learning (1995),6
359,I Like It Like That (1994),3|6|5
360,I Love Trouble (1994),7|3
361,It Could Happen to You (1994),3|6|5
362,"Jungle Book, The (1994)",10|2|5
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",14
364,"Lion King, The (1994)",10|1|2|6|17|15
365,Little Buddha (1993),6
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",6|11|12|9
367,"Mask, The (1994)",7|3|8|4
368,Maverick (1994),10|3|18
369,Mrs. Parker and the Vicious Circle (1994),6
370,Naked Gun 33 1/3: The Final Insult (1994),7|3
371,"Paper, The (1994)",3|6
372,Reality Bites (1994),3|6|5
373,Red Rock West (1992),9
374,Richie Rich (1994),2|3
375,Safe Passage (1994),6
376,"River Wild, The (1994)",7|9
377,Speed (1994),7|5|9
378,Speechless (1994),3|5
379,Timecop (1994),7|13|9
380,True Lies (1994),7|10|3|5|9
381,When a Man Loves a Woman (1994),6|5
382,Wolf (1994),6|11|5|9
383,Wyatt Earp (1994),18
384,Bad Company (1995),7|8|6
385,"Man of No Importance, A (1994)",6
386,S.F.W. (1994),6
387,"Low Down Dirty Shame, A (1994)",7|3
388,Boys Life (1995),6
389,"Colonel Chabert, Le (1994)",6|5|16
390,Faster Pussycat! Kill! Kill! (1965),7|8|6
391,Jason's Lyric (1994),8|6
392,"Secret Adventures of Tom Thumb, The (1993)",10|1
393,Street Fighter (1994),7|10|4
394,Coldblooded (1995),3
395,Desert Winds (1995),6|4|5
396,Fall Time (1995),6
397,"Fear, The (1995)",11
398,Frank and Ollie (1995),14
399,Girl in the Cadillac (1995),6
400,Homage (1995),6
401,Mirage (1995),7|9
402,Open Season (1996),3
403,Two Crimes (Dos crímenes) (1995),3|8|6
404,Brother Minister: The Assassination of Malcolm X (1994),14
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),7|4
406,Federal Hill (1994),6
407,In the Mouth of Madness (1995),11|9
408,8 Seconds (1994),6
409,Above the Rim (1994),8|6
410,Addams Family Values (1993),2|3|4
411,Martin Lawrence: You So Crazy (1994),3|14
412,"Age of Innocence, The (1993)",6
413,Airheads (1994),3
414,"Air Up There, The (1994)",3
415,Another Stakeout (1993),3|9
416,Bad Girls (1994),18
417,Barcelona (1994),3|5
418,Being Human (1993),6
419,"Beverly Hillbillies, The (1993)",3
420,Beverly Hills Cop III (1994),7|3|8|9
421,Black Beauty (1994),10|2|6
422,Blink (1994),9
423,Blown Away (1994),7|9
424,Blue Chips (1994),6
425,Blue Sky (1994),6|5
426,Body Snatchers (1993),11|13|9
427,Boxing Helena (1993),6|12|5|9
428,"Bronx Tale, A (1993)",6
429,Cabin Boy (1994),3
430,Calendar Girl (1993),3|6
431,Carlito's Way (1993),8|6
432,City Slickers II: The Legend of Curly's Gold (1994),10|3|18
433,Clean Slate (1994),3
434,Cliffhanger (1993),7|10|9
435,Coneheads (1993),3|13
436,Color of Night (1994),6|9
437,Cops and Robbersons (1994),3
438,"Cowboy Way, The (1994)",7|3|6
439,Dangerous Game (1993),6
440,Dave (1993),3|5
441,Dazed and Confused (1993),3
442,Demolition Man (1993),7|10|13
443,"Endless Summer 2, The (1994)",10|14
444,Even Cowgirls Get the Blues (1993),3|5
445,Fatal Instinct (1993),3
446,Farewell My Concubine (Ba wang bie ji) (1993),6|5
447,"Favor, The (1994)",3|5
448,Fearless (1993),6
449,Fear of a Black Hat (1994),3
450,With Honors (1994),3|6
451,Flesh and Bone (1993),6|12|5
452,Widows' Peak (1994),6
453,For Love or Money (1993),3|5
454,"Firm, The (1993)",6|9
455,Free Willy (1993),10|2|6
456,Fresh (1994),8|6|9
457,"Fugitive, The (1993)",9
458,Geronimo: An American Legend (1993),6|18
459,"Getaway, The (1994)",7|10|8|6|5|9
460,Getting Even with Dad (1994),3
461,Go Fish (1994),6|5
462,"Good Man in Africa, A (1994)",7|10
463,Guilty as Sin (1993),8|6|9
464,Hard Target (1993),7|10|8|9
465,Heaven & Earth (1993),7|6|16
466,Hot Shots! Part Deux (1993),7|3|16
467,Live Nude Girls (1995),3
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",3|5
469,"House of the Spirits, The (1993)",6|5
470,House Party 3 (1994),3
471,"Hudsucker Proxy, The (1994)",3
472,I'll Do Anything (1994),3|6
473,In the Army Now (1994),3|16
474,In the Line of Fire (1993),7|9
475,In the Name of the Father (1993),6
476,"Inkwell, The (1994)",3|6
477,What's Love Got to Do with It? (1993),6|17
478,Jimmy Hollywood (1994),3|8|6
479,Judgment Night (1993),7|8|9
480,Jurassic Park (1993),7|10|13|9
481,Kalifornia (1993),6|9
482,Killing Zoe (1994),8|6|9
483,King of the Hill (1993),6
484,Lassie (1994),10|2
485,Last Action Hero (1993),7|10|3|4
486,Life with Mikey (1993),3
487,Lightning Jack (1994),3|18
488,M. Butterfly (1993),6|5
489,Made in America (1993),3
490,Malice (1993),9
491,"Man Without a Face, The (1993)",6
492,Manhattan Murder Mystery (1993),3|12
493,Menace II Society (1993),7|8|6
494,Executive Decision (1996),7|10|9
495,In the Realm of the Senses (Ai no corrida) (1976),6
496,What Happened Was... (1994),3|6|5|9
497,Much Ado About Nothing (1993),3|5
498,Mr. Jones (1993),6|5
499,Mr. Wonderful (1993),3|5
500,Mrs. Doubtfire (1993),3|6
501,Naked (1993),6
502,"Next Karate Kid, The (1994)",7|2|5
503,"New Age, The (1994)",6
504,No Escape (1994),7|6|13
505,North (1994),3
506,Orlando (1992),6|4|5
507,"Perfect World, A (1993)",8|6|9
508,Philadelphia (1993),6
509,"Piano, The (1993)",6|5
510,Poetic Justice (1993),6
511,"Program, The (1993)",7|6
512,"Puppet Masters, The (1994)",11|13
513,Radioland Murders (1994),3|12|5
514,"Ref, The (1994)",3
515,"Remains of the Day, The (1993)",6|5
516,Renaissance Man (1994),3|6
517,Rising Sun (1993),7|6|12
518,"Road to Wellville, The (1994)",3
519,RoboCop 3 (1993),7|8|6|13|9
520,Robin Hood: Men in Tights (1993),3
521,Romeo Is Bleeding (1993),8|9
522,Romper Stomper (1992),7|6
523,Ruby in Paradise (1993),6
524,Rudy (1993),6
525,"Saint of Fort Washington, The (1993)",6
526,"Savage Nights (Nuits fauves, Les) (1992)",6
527,Schindler's List (1993),6|16
528,"Scout, The (1994)",3|6
529,Searching for Bobby Fischer (1993),6
530,Second Best (1994),6
531,"Secret Garden, The (1993)",2|6
532,Serial Mom (1994),3|8|11
533,"Shadow, The (1994)",7|10|4|12
534,Shadowlands (1993),6|5
535,Short Cuts (1993),6
536,"Simple Twist of Fate, A (1994)",6
537,Sirens (1994),6
538,Six Degrees of Separation (1993),6
539,Sleepless in Seattle (1993),3|6|5
540,Sliver (1993),9
541,Blade Runner (1982),7|13|9
542,Son in Law (1993),3|6|5
543,So I Married an Axe Murderer (1993),3|5|9
544,Striking Distance (1993),7|8
546,Super Mario Bros. (1993),7|10|2|3|4|13
547,Surviving the Game (1994),7|10|9
548,Terminal Velocity (1994),7|12|9
549,Thirty-Two Short Films About Glenn Gould (1993),6|17
550,Threesome (1994),3|5
551,"Nightmare Before Christmas, The (1993)",1|2|4|17
552,"Three Musketeers, The (1993)",7|10|3|5
553,Tombstone (1993),7|6|18
554,Trial by Jury (1994),8|6|9
555,True Romance (1993),8|9
556,"War Room, The (1993)",14
558,"Pagemaster, The (1994)",7|10|1|2|4
559,"Paris, France (1993)",3
560,"Beans of Egypt, Maine, The (1994)",6
561,Killer (Bulletproof Heart) (1994),6|9
562,Welcome to the Dollhouse (1995),3|6
563,Germinal (1993),6|5
564,Chasers (1994),3
565,Cronos (1993),6|11
566,Naked in New York (1994),3|5
567,Kika (1993),3|6
568,Bhaji on the Beach (1993),3|6
569,Little Big League (1994),3|6
570,"Slingshot, The (Kådisbellan) (1993)",3|6
571,"Wedding Gift, The (1994)",6|5
572,Foreign Student (1994),6
573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",6
574,Spanking the Monkey (1994),3|6
575,"Little Rascals, The (1994)",2|3
576,Fausto (1993),3
577,Andre (1994),10|2|6
579,"Escort, The (Scorta, La) (1993)",8|9
580,Princess Caraboo (1994),6
581,"Celluloid Closet, The (1995)",14
582,Métisse (Café au Lait) (1993),3|6
583,Dear Diary (Caro Diario) (1994),3|6
584,I Don't Want to Talk About It (De eso no se habla) (1993),6|5
585,"Brady Bunch Movie, The (1995)",3
586,Home Alone (1990),2|3
587,Ghost (1990),3|6|4|5|9
588,Aladdin (1992),10|1|2|3|17
589,Terminator 2: Judgment Day (1991),7|13
590,Dances with Wolves (1990),10|6|18
591,Tough and Deadly (1995),7|6|9
592,Batman (1989),7|8|9
593,"Silence of the Lambs, The (1991)",8|11|9
594,Snow White and the Seven Dwarfs (1937),1|2|6|4|17
595,Beauty and the Beast (1991),1|2|4|17|5|15
596,Pinocchio (1940),1|2|4|17
597,Pretty Woman (1990),3|5
598,Window to Paris (Okno v Parizh) (1994),3|4
599,"Wild Bunch, The (1969)",10|18
600,Love and a .45 (1994),7|3|8
601,"Wooden Man's Bride, The (Yan shen) (1994)",6
602,"Great Day in Harlem, A (1994)",14
603,"Bye Bye, Love (1995)",3
604,Criminals (1996),14
605,One Fine Day (1996),6|5
606,Candyman: Farewell to the Flesh (1995),4|11
607,Century (1993),6
608,Fargo (1996),3|8|6|9
609,Homeward Bound II: Lost in San Francisco (1996),10|2
610,Heavy Metal (1981),7|10|1|11|13
611,Hellraiser: Bloodline (1996),7|11|13
612,"Pallbearer, The (1996)",3
613,Jane Eyre (1996),6|5
614,Loaded (1994),6|9
615,Bread and Chocolate (Pane e cioccolata) (1973),3|6
616,"Aristocats, The (1970)",1|2
617,"Flower of My Secret, The (La flor de mi secreto) (1995)",3|6
618,Two Much (1995),3|5
619,Ed (1996),3
620,Scream of Stone (Cerro Torre: Schrei aus Stein) (1991),6
621,My Favorite Season (1993),6
623,"Modern Affair, A (1995)",5
625,Asfour Stah (1990),6
626,"Thin Line Between Love and Hate, A (1996)",3
627,"Last Supper, The (1995)",6|9
628,Primal Fear (1996),8|6|12|9
629,Rude (1995),6
630,Carried Away (1996),6|5
631,All Dogs Go to Heaven 2 (1996),10|1|2|4|17|5
632,Land and Freedom (Tierra y libertad) (1995),6|16
633,Denise Calls Up (1995),3
634,Theodore Rex (1995),3
635,"Family Thing, A (1996)",3|6
636,Frisk (1995),6
637,Sgt. Bilko (1996),3
638,Jack and Sarah (1995),5
639,Girl 6 (1996),3|6
640,Diabolique (1996),6|9
641,"Little Indian, Big City (Un indien dans la ville) (1994)",10|2|3
642,Roula (1995),6
643,Peanuts - Die Bank zahlt alles (1996),3
644,Happy Weekend (1996),3
645,Nelly & Monsieur Arnaud (1995),6
647,Courage Under Fire (1996),7|8|6|16
648,Mission: Impossible (1996),7|10|12|9
649,Cold Fever (Á köldum klaka) (1995),3|6
650,Moll Flanders (1996),6
651,"Superweib, Das (1996)",3
652,"301, 302 (301/302) (1995)",11|12|9
653,Dragonheart (1996),7|10|4
654,And Nobody Weeps for Me (Und keiner weint mir nach) (1996),6|5
655,My Mother's Courage (Mutters Courage) (1995),3
656,Eddie (1996),3
657,Yankee Zulu (1994),3|6
658,Billy's Holiday (1995),6|17
659,Purple Noon (Plein soleil) (1960),8|6|9
660,August (1996),6
661,James and the Giant Peach (1996),10|1|2|4|17
662,Fear (1996),9
663,Kids in the Hall: Brain Candy (1996),3
664,Faithful (1996),3
665,Underground (1995),3|6|16
666,All Things Fair (Lust och fägring stor) (1995),6|5|16
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),7
668,Song of the Little Road (Pather Panchali) (1955),6
670,"World of Apu, The (Apur Sansar) (1959)",6
671,Mystery Science Theater 3000: The Movie (1996),3|13
672,Tarantella (1995),6
673,Space Jam (1996),10|1|2|3|4|13
674,Barbarella (1968),10|3|13
675,Hostile Intentions (1994),7|6|9
676,They Bite (1996),3|11|13
678,Some Folks Call It a Sling Blade (1993),6|9
679,"Run of the Country, The (1995)",6
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",6|12|5|13|9
681,Coup de torchon (Clean Slate) (1981),8
682,Tigrero: A Film That Was Never Made (1994),14|6
683,"Eye of Vichy, The (Oeil de Vichy, L') (1993)",14
684,Windows (1980),6
685,It's My Party (1996),6
687,Country Life (1994),6|5
688,Operation Dumbo Drop (1995),7|10|3|16
690,"Promise, The (Versprechen, Das) (1995)",6|5
691,Mrs. Winterbourne (1996),3|5
692,Solo (1996),7|13|9
693,Under the Domim Tree (Etz Hadomim Tafus) (1994),6
694,"Substitute, The (1996)",7|8|6
695,True Crime (1996),12|9
696,Butterfly Kiss (1995),6|9
697,Feeling Minnesota (1996),6|5
698,Delta of Venus (1995),6
699,To Cross the Rubicon (1991),6
700,Angus (1995),3
701,Daens (1992),6
702,Faces (1968),6
703,Boys (1996),6
704,"Quest, The (1996)",7|10
705,Cosi (1996),3
706,Sunset Park (1996),6
707,Mulholland Falls (1996),8|6|9
708,"Truth About Cats & Dogs, The (1996)",3|5
709,Oliver & Company (1988),10|1|2|3|17
710,Celtic Pride (1996),3
711,Flipper (1996),10|2
712,Captives (1994),8|6|5|9
713,Of Love and Shadows (1994),6
714,Dead Man (1995),6|12|18
715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",6|5
716,Switchblade Sisters (1975),8
717,Mouth to Mouth (Boca a boca) (1995),3
718,"Visitors, The (Visiteurs, Les) (1993)",3|4|13
719,Multiplicity (1996),3
720,Wallace & Gromit: The Best of Aardman Animation (1996),10|1|3
721,Halfmoon (Paul Bowles - Halbmond) (1995),6
722,"Haunted World of Edward D. Wood Jr., The (1996)",14
723,Two Friends (1986),6
724,"Craft, The (1996)",6|4|11|9
725,"Great White Hype, The (1996)",3
726,Last Dance (1996),6
727,War Stories (1995),14
728,Cold Comfort Farm (1995),3
729,"Institute Benjamenta, or This Dream People Call Human Life (1995)",6
730,Low Life (1994),6
731,Heaven's Prisoners (1996),8|9
732,Original Gangstas (1996),8
733,"Rock, The (1996)",7|10|9
734,Getting Away With Murder (1996),3
